method,params,scene,n_seeds,n_episodes,reach,reach_ci_lo,reach_ci_hi,crash,crash_ci_lo,crash_ci_hi,timeout,timeout_ci_lo,timeout_ci_hi,mean_reach_steps
issf,phi=2.0,slalom,2,2261,0.8960636886333481,0.8828052519444337,0.9079785273715238,0.07695709862892526,0.06667451423117193,0.08867480467925432,0.02697921273772667,0.021060610307388036,0.03450248072732274,613.3524185587364
issf,phi=3.0,slalom,2,1919,0.8749348619072433,0.8593811794332286,0.8889903972998731,0.08337675872850443,0.07182442489308387,0.0965938161102312,0.041688379364252216,0.03362324455104389,0.051584814188687975,593.765932102442
rl_A,,slalom,2,3388,0.904073199527745,0.8936941543477696,0.913536938047583,0.09031877213695395,0.08112507634022353,0.1004404779002811,0.005608028335301062,0.0035931805720337768,0.008742772852206319,694.4142997061704
rl_A_i50,,slalom,2,3378,0.8886915334517466,0.8776404859651155,0.898859513325212,0.10479573712255773,0.0949117601812259,0.11557757793561556,0.006512729425695678,0.004304877928203482,0.009841733787732593,700.7285143237841
rl_B,,slalom,2,3441,0.9000290613193839,0.8895560553761113,0.9096098627317053,0.09444928799767509,0.08512484662357521,0.10467824911237968,0.005521650682941005,0.0035377935485574365,0.00860836725024388,694.0277688085243
rl_B_i50,,slalom,2,3389,0.8922986131602243,0.8814136353740271,0.9022952179953728,0.10209501327825317,0.09234752513572378,0.11274357018685183,0.005606373561522573,0.0035921194863557655,0.008740198061271567,700.8535052910053
rl_C,,slalom,2,3427,0.8914502480303472,0.880593474431695,0.9014303881680823,0.1038809454333236,0.09410531120229401,0.11454366868648894,0.0046688065363291505,0.002875890975079293,0.007570991795608811,703.2530278232406
rl_C_i50,,slalom,2,3456,0.8912037037037037,0.8803844006904729,0.9011542685942713,0.10387731481481481,0.09414112208659808,0.11449316914800639,0.004918981481481482,0.003073474843797102,0.007863904485938687,701.0353896103896
rl_D,,slalom,2,3300,0.9163636363636364,0.9064269664147405,0.9253320380121061,0.07787878787878788,0.06921846727918887,0.08752076622401539,0.005757575757575757,0.003689076467812399,0.00897545321181873,698.6015211640212
rl_D_i50,,slalom,2,3362,0.9030339083878643,0.8925662934649335,0.9125815186008511,0.08953004164187983,0.08034162282937536,0.0996554394209694,0.0074360499702558,0.0050418760291911,0.01095459867122261,695.4235836627141
tissf,"eps0=1.0,lam=0.5",slalom,2,2864,0.9375,0.9280351905075154,0.9457927084949956,0.049231843575418995,0.041894252416124406,0.05777708229078547,0.013268156424581005,0.009681928749282469,0.018158381538426582,673.1024208566108
tissf,"eps0=1.0,lam=1.5",slalom,2,2803,0.9300749197288619,0.920033370833724,0.9389392195682422,0.05672493756689261,0.04875252376055144,0.06591073333240313,0.013200142704245452,0.00959184261614643,0.01814096567627734,669.5205216724204
tissf,"eps0=2.0,lam=0.5",slalom,2,3088,0.9200129533678757,0.9099147375245259,0.9290674406051688,0.07221502590673576,0.06360708584500589,0.08188600797972302,0.007772020725388601,0.005228347359116494,0.011538876421040935,678.6314677930307
